Years,Public two-year (In-District),Public four-year (In-State),Public four-year (Out-of-State),Private Nonprofit Four-Year
2013/14,10781.0,18383.0,31721.0,40955.0
2014/15,11192.0,18931.0,32893.0,42445.0
2015/16,11370.0,19570.0,34220.0,43870.0
2016/17,11640.0,20150.0,35300.0,45370.0
2017/18,12040.0,20790.0,36480.0,46990.0
2018/19,12350.0,21400.0,37390.0,48290.0
2019/20,12690.0,21950.0,38280.0,49870.0
2020/21,12900.0,22290.0,38870.0,50580.0
2021/22,13130.0,22700.0,39570.0,51690.0
2022/23,13470.0,23250.0,40550.0,53430.0
